Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,9.69512104988,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,9.80271291733,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,9.90945601463,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.168491344457,0.5475
STABILIZE,10.0181689262,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.17,1.27,0.02,0.77,0.87,-0.38,-0.159449316377,0.174,0.5475
STABILIZE,10.1251418591,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.16,1.27,0.02,0.76,0.87,-0.38,-0.146609815491,0.174,0.5475
STABILIZE,10.2280008793,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.17,1.28,0.02,0.77,0.88,-0.38,-0.159333235377,0.181333235377,0.5475
STABILIZE,10.3309340477,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.16,1.27,0.02,0.76,0.87,-0.38,-0.146720389308,0.168720389308,0.5475
STABILIZE,10.4344439507,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.17,1.27,0.02,0.77,0.87,-0.38,-0.159227005512,0.174,0.5475
STABILIZE,10.5385689735,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.16,1.28,0.02,0.76,0.88,-0.38,-0.146824847887,0.181175152113,0.5475
STABILIZE,10.6437649727,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.168875979716,0.5475
STABILIZE,10.7490799427,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.17,1.27,0.02,0.77,0.87,-0.38,-0.159073374222,0.174,0.5475
